Epoch,Time,Loss,Metrics,Validation
1.0,0.0,1.5147444009780884,0.8234583139419556,0.9654077291488647
2.0,10.869675338999969,1.4958338737487793,0.9471458196640015,0.977439820766449
3.0,21.48830721200011,1.4931432008743286,0.9574583172798157,0.9781918525695801
4.0,32.14084433500011,1.483123779296875,0.9638124704360962,0.9808656573295593
5.0,42.807564387000184,1.4775054454803467,0.9677083492279053,0.9820353984832764
6.0,53.3872581100004,1.4777562618255615,0.9711041450500488,0.9838736653327942
7.0,63.98895720600058,1.4769166707992554,0.973604142665863,0.9857954382896423
8.0,74.60589866600048,1.4703290462493896,0.9755208492279053,0.9852941036224365
9.0,85.23515627600045,1.476444959640503,0.9764999747276306,0.9859625697135925
10.0,95.78602442300053,1.489492416381836,0.9790416955947876,0.9871323704719543
11.0,106.46718018400043,1.4847761392593384,0.9798333048820496,0.9839572310447693
12.0,117.0526211690003,1.4789819717407227,0.979687511920929,0.9847092032432556
13.0,127.61775358000023,1.4829435348510742,0.9801041483879089,0.9845421314239502
14.0,138.25895448200026,1.4744746685028076,0.9807083606719971,0.9860461354255676
15.0,148.91298583900016,1.4801466464996338,0.9823125004768372,0.9858790040016174
16.0,159.44895742000017,1.4669172763824463,0.9811041951179504,0.9856283664703369
17.0,169.81977361900044,1.4625036716461182,0.9831458330154419,0.9848763346672058
18.0,180.11755667600073,1.462301254272461,0.9828749895095825,0.9847092032432556
19.0,190.0216508970011,1.461167812347412,0.9837083220481873,0.986881673336029
20.0,199.97974330200122,1.4611566066741943,0.9830208420753479,0.9871323704719543
