Epoch,Time,Loss,Metrics,Validation
1.0,0.0,1.1952944993972778,0.3083333373069763,0.5
2.0,4.641000000061467,1.0161961317062378,0.3083333373069763,0.625
3.0,5.391000000061467,0.9030628204345703,0.3083333373069763,0.625
4.0,5.829000000027008,0.8162572383880615,0.375,0.75
5.0,6.25,0.7363825440406799,0.4583333432674408,0.875
6.0,6.547000000020489,0.6665446758270264,0.4833333194255829,1.0
7.0,6.843999999924563,0.6088173985481262,0.5416666865348816,1.0
8.0,7.297000000020489,0.5553896427154541,0.6166666746139526,1.0
9.0,7.640999999945052,0.5043423771858215,0.6916666626930237,1.0
10.0,7.968999999924563,0.4605312943458557,0.7749999761581421,1.0
11.0,8.390999999945052,0.42410922050476074,0.800000011920929,1.0
12.0,8.718999999924563,0.3937779366970062,0.824999988079071,1.0
13.0,9.03200000000652,0.36698874831199646,0.8333333134651184,1.0
14.0,9.343999999924563,0.33385056257247925,0.8666666746139526,1.0
15.0,9.718999999924563,0.2985382676124573,0.9083333611488342,1.0
16.0,10.078999999910593,0.2750893533229828,0.875,1.0
17.0,10.60999999998603,0.23708371818065643,0.925000011920929,1.0
18.0,10.937999999965541,0.21444787085056305,0.949999988079071,1.0
19.0,11.297000000020489,0.18429522216320038,0.9833333492279053,1.0
20.0,11.641000000061467,0.16951270401477814,0.949999988079071,1.0
