Epoch,Time,Loss,Metrics,Validation
1.0,0.0,19.89389991760254,9.996532440185547,6.664115905761719
2.0,0.4642888929993205,14.734352111816406,8.107890129089355,4.018924713134766
3.0,0.7233257459993183,6.76892614364624,5.742863178253174,3.350207805633545
4.0,0.9959969879982964,8.964916229248047,5.124189376831055,3.306971311569214
5.0,1.2635098199989443,7.6422576904296875,4.841964244842529,3.4163239002227783
6.0,1.5585243539990188,6.874200344085693,4.565705299377441,3.4083118438720703
7.0,1.853900504998819,7.6244282722473145,4.36590051651001,3.4208271503448486
8.0,2.1191815189995395,7.749723434448242,4.187938690185547,3.4138176441192627
9.0,2.4009038919994055,7.6489787101745605,3.9585585594177246,3.3743362426757812
10.0,2.6876498799992987,6.775814533233643,3.913709878921509,3.3544349670410156
11.0,2.9587239749998844,6.268034934997559,3.715527296066284,3.3413474559783936
12.0,3.2348301029996946,5.539081573486328,3.6539852619171143,3.3418192863464355
13.0,3.5062484790014423,5.023861885070801,3.557461977005005,3.328026294708252
14.0,3.760999301000993,4.4172258377075195,3.429741859436035,3.302926540374756
15.0,4.042146129002504,4.5942702293396,3.346809148788452,3.2445685863494873
16.0,4.288458580002043,4.512014865875244,3.263627767562866,3.1454758644104004
17.0,4.55425249900145,4.272273540496826,3.2478830814361572,3.1293704509735107
18.0,4.809321100001398,4.467309951782227,3.181072235107422,3.1377220153808594
19.0,5.099244857001395,4.314122200012207,3.144641399383545,3.0301661491394043
20.0,5.3975804560013785,4.003263473510742,3.0465922355651855,3.0360143184661865
