Epoch,Time,Loss,Metrics,Validation
1.0,0.0,0.8694581985473633,0.3083333373069763,0.5
2.0,5.625,0.8017245531082153,0.32499998807907104,0.5
3.0,5.983999999938533,0.7428381443023682,0.4000000059604645,0.625
4.0,6.280999999959022,0.6960767507553101,0.5083333253860474,0.75
5.0,6.593999999924563,0.6533920168876648,0.5916666388511658,0.75
6.0,6.858999999938533,0.6109132170677185,0.6416666507720947,0.75
7.0,7.297000000020489,0.5723706483840942,0.6583333611488342,0.875
8.0,7.625,0.48175543546676636,0.675000011920929,0.875
9.0,8.01500000001397,0.4356696605682373,0.7083333134651184,1.0
10.0,8.436999999918044,0.4018218219280243,0.75,1.0
11.0,8.811999999918044,0.37409892678260803,0.8083333373069763,1.0
12.0,9.343999999924563,0.35156792402267456,0.8166666626930237,1.0
13.0,9.671999999904074,0.33132296800613403,0.8416666388511658,1.0
14.0,10.093999999924563,0.3063228130340576,0.8583333492279053,1.0
15.0,10.546999999904074,0.2826050817966461,0.875,1.0
16.0,11.125999999931082,0.2557336091995239,0.8999999761581421,1.0
17.0,11.422999999951571,0.2113616168498993,0.925000011920929,1.0
18.0,11.96999999997206,0.1756679117679596,0.949999988079071,1.0
19.0,12.34499999997206,0.14581596851348877,0.949999988079071,1.0
20.0,12.90700000000652,0.1215674951672554,0.9583333134651184,1.0
21.0,13.313000000081956,0.10137492418289185,0.9666666388511658,1.0
22.0,13.734000000054948,0.08502133935689926,0.9750000238418579,1.0
23.0,14.062000000034459,0.07138852775096893,0.9750000238418579,1.0
24.0,14.547000000020489,0.06012750416994095,0.9750000238418579,1.0
25.0,15.077999999979511,0.050951164215803146,0.9750000238418579,1.0
26.0,15.5,0.04350349307060242,0.9750000238418579,1.0
27.0,15.875,0.03737649321556091,0.9750000238418579,1.0
28.0,16.140999999945052,0.032397180795669556,0.9750000238418579,1.0
29.0,16.42200000002049,0.028185706585645676,0.9750000238418579,1.0
30.0,16.656000000075437,0.024661056697368622,0.9916666746139526,1.0
31.0,16.906000000075437,0.021731605753302574,0.9916666746139526,1.0
32.0,17.188000000081956,0.019210904836654663,0.9916666746139526,1.0
33.0,17.438000000081956,0.017071638256311417,0.9916666746139526,1.0
34.0,17.70400000002701,0.01524219661951065,0.9916666746139526,1.0
35.0,17.986000000033528,0.013632790185511112,1.0,1.0
36.0,18.221000000019558,0.012265692465007305,1.0,1.0
37.0,18.471000000019558,0.011079924181103706,1.0,1.0
38.0,18.721000000019558,0.010037273168563843,1.0,1.0
39.0,19.033000000054017,0.009110872633755207,1.0,1.0
40.0,19.330000000074506,0.008264206349849701,1.0,1.0
41.0,19.565000000060536,0.007495642639696598,1.0,1.0
42.0,19.861000000033528,0.006802990101277828,1.0,1.0
43.0,20.158000000054017,0.006183756981045008,1.0,1.0
44.0,20.408000000054017,0.0056148371659219265,1.0,1.0
45.0,20.89199999999255,0.005106536205857992,1.0,1.0
46.0,21.21999999997206,0.004652579315006733,1.0,1.0
47.0,21.59499999997206,0.004249713383615017,1.0,1.0
48.0,22.17299999995157,0.0038891187869012356,1.0,1.0
49.0,22.70400000002701,0.003554132767021656,1.0,1.0
50.0,22.985000000102445,0.0032722558826208115,1.0,1.0
