Epoch,Time,Loss,Metrics,Validation
1.0,0.0,38.36903381347656,7.228916645050049,6.798798561096191
2.0,0.29513114799920004,11.717055320739746,6.214523792266846,5.148378372192383
3.0,0.4160658369983139,8.84210205078125,4.715049743652344,3.834507703781128
4.0,0.5476305169977422,2.004546880722046,3.70563006401062,3.3208281993865967
5.0,0.6762808519979444,2.7182726860046387,3.6447455883026123,3.177283763885498
6.0,0.8232230539979355,1.9004889726638794,3.504030704498291,3.105346441268921
7.0,0.9861637509966386,1.9327037334442139,3.3273420333862305,3.1047816276550293
8.0,1.1209912129979784,2.2742066383361816,3.217036724090576,2.9917562007904053
9.0,1.2648681539994868,2.3088722229003906,3.1591296195983887,2.947709560394287
10.0,1.3978643430000375,2.428480625152588,3.1029679775238037,2.933957099914551
11.0,1.5333364899997832,2.460423231124878,3.0800867080688477,2.8931751251220703
12.0,1.6801158910002414,2.403212070465088,2.9980275630950928,2.907182216644287
13.0,1.813940027001081,2.016819953918457,2.9653499126434326,2.8837356567382812
14.0,1.9494453450006404,2.000284194946289,2.7864129543304443,2.9367570877075195
15.0,2.0699884410005325,2.292642593383789,2.78959059715271,2.972259044647217
16.0,2.2102280220005923,1.5906956195831299,2.6469624042510986,2.892272472381592
17.0,2.3574178910021146,2.124912738800049,2.742077350616455,2.9457836151123047
18.0,2.499909270001808,2.0547189712524414,2.700570583343506,2.9133315086364746
19.0,2.635360391001086,2.46036696434021,2.591686248779297,2.9210994243621826
20.0,2.770497970001088,2.744741201400757,2.6034343242645264,2.8586955070495605
